,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Port Alfred,100,ZA,1596664315,90,-33.59,26.89,57.22,9.93
1,Otane,91,NZ,1596664382,95,-39.88,176.63,46.0,1.99
2,Rocha,2,UY,1596664463,81,-34.48,-54.33,65.59,8.7
3,Mataura,100,NZ,1596664465,96,-46.19,168.86,42.01,3.71
4,Hermanus,35,ZA,1596664466,94,-34.42,19.23,41.0,1.01
5,Ancud,75,CL,1596664467,81,-41.87,-73.82,45.0,8.05
6,Kaitangata,100,NZ,1596664468,85,-46.28,169.85,46.0,5.01
7,Ferme-Neuve,22,CA,1596664470,47,46.7,-75.45,68.65,13.06
8,Busselton,0,AU,1596664471,83,-33.65,115.33,46.99,7.9
9,Alofi,75,NU,1596664473,94,-19.06,-169.92,77.0,6.93
10,Butaritari,33,KI,1596664282,73,3.07,172.79,83.82,21.68
11,Shelburne,40,CA,1596664475,46,44.08,-80.2,71.6,12.75
12,Batagay,60,RU,1596664476,32,67.63,134.63,68.79,3.83
13,Kenai,1,US,1596664478,59,60.55,-151.26,66.2,4.7
14,Sitka,90,US,1596664479,82,57.05,-135.33,57.2,9.17
15,São Filipe,18,CV,1596664480,82,14.9,-24.5,77.85,6.31
16,Pevek,100,RU,1596664211,97,69.7,170.31,34.86,4.88
17,Faanui,16,PF,1596664483,82,-16.48,-151.75,78.21,14.58
18,Port Hedland,63,AU,1596664484,54,-20.32,118.57,55.4,8.05
19,Cape Town,20,ZA,1596664242,75,-33.93,18.42,52.0,2.24
20,Bethanien,0,NA,1596664486,71,-26.5,17.16,42.49,6.64
21,East London,100,ZA,1596664348,79,-33.02,27.91,59.61,7.74
22,Ushuaia,75,AR,1596664489,69,-54.8,-68.3,39.2,24.16
23,Salalah,40,OM,1596664490,83,17.02,54.09,80.6,11.41
24,Mendeleyevo,93,RU,1596664492,72,56.03,37.22,64.4,5.35
25,Carnarvon,0,AU,1596664493,76,-24.87,113.63,53.6,9.17
26,Umluj,6,SA,1596664495,70,25.02,37.27,84.43,2.62
27,Kontagora,98,NG,1596664496,92,10.4,5.47,72.73,4.7
28,Pacific Grove,90,US,1596664497,56,36.62,-121.92,71.6,16.11
29,Hays,0,US,1596664498,35,30.05,-98.03,100.0,5.99
30,Alta Floresta,0,BR,1596664500,30,-9.88,-56.09,83.05,3.4
31,Esperance,90,AU,1596664501,93,-33.87,121.9,51.8,5.82
32,Salym,0,RU,1596664503,88,60.06,71.48,59.02,5.59
33,Nyimba,0,ZM,1596664504,49,-14.56,30.81,65.43,4.5
34,Sakakah,0,SA,1596664505,23,29.97,40.21,86.0,10.29
35,Bambous Virieux,20,MU,1596664508,64,-20.34,57.76,68.0,9.17
36,Rikitea,55,PF,1596664509,78,-23.12,-134.97,70.43,10.36
37,Punta Arenas,100,CL,1596664511,77,-53.15,-70.92,39.2,11.41
38,Mahon,1,ES,1596664512,68,39.89,4.27,71.6,1.45
39,Vaini,20,TO,1596664513,73,-21.2,-175.2,73.4,3.36
40,Demba,76,CD,1596664514,53,-5.51,22.27,75.65,1.72
41,Manyana,0,BW,1596664516,35,-23.4,21.72,55.38,6.58
42,Kawalu,100,ID,1596664517,91,-7.38,108.21,68.72,0.78
43,San Cristobal,40,VE,1596664518,43,7.77,-72.22,89.6,23.04
44,Yellowknife,75,CA,1596664519,68,62.46,-114.35,68.0,16.11
45,Nikolskoye,100,RU,1596664268,76,59.7,30.79,57.2,2.24
46,Yar-Sale,22,RU,1596664522,63,66.83,70.83,57.16,9.89
47,Tual,93,ID,1596664523,86,-5.67,132.75,77.95,11.79
48,Kapaa,90,US,1596664524,69,22.08,-159.32,82.4,11.41
49,Roald,100,NO,1596664526,93,62.58,6.13,60.01,9.17
50,Atuona,6,PF,1596664528,72,-9.8,-139.03,78.85,17.52
51,Semporna,20,MY,1596664529,100,4.48,118.61,77.0,2.24
52,San Jerónimo,0,PE,1596664530,31,-11.95,-75.28,61.41,6.64
53,Plouzané,90,FR,1596664532,88,48.38,-4.62,66.2,11.41
54,La Ronge,20,CA,1596664533,37,55.1,-105.28,82.4,8.05
55,Vostok,99,RU,1596664535,100,46.49,135.88,61.02,2.35
56,Grindavik,75,IS,1596664537,100,63.84,-22.43,48.2,14.99
57,Tūkrah,0,LY,1596664538,40,32.53,20.58,81.16,4.94
58,Jamestown,75,US,1596664506,68,42.1,-79.24,69.01,11.41
59,Castro,0,BR,1596664418,77,-24.79,-50.01,56.08,2.48
60,Mossamedes,37,AO,1596664543,84,-15.2,12.15,61.88,9.24
61,Preobrazheniye,100,RU,1596664544,93,42.9,133.91,66.02,7.14
62,Tuktoyaktuk,90,CA,1596664545,81,69.45,-133.04,48.2,6.93
63,Sovetskiy,3,RU,1596664547,66,61.36,63.58,56.57,1.83
64,Hilo,90,US,1596664440,74,19.73,-155.09,80.01,8.05
65,Camopi,100,GF,1596664549,95,3.17,-52.32,75.15,2.13
66,Saint Paul,90,US,1596664363,50,44.94,-93.09,78.01,8.05
67,Hobart,75,AU,1596664552,87,-42.88,147.33,44.6,12.75
68,Barrow,90,US,1596664553,81,71.29,-156.79,44.6,6.93
69,Erzin,17,TR,1596664555,85,36.96,36.2,81.0,2.3
70,Portland,0,US,1596664490,50,45.52,-122.68,84.99,1.01
71,Montepuez,0,MZ,1596664557,92,-13.13,39.0,63.99,5.53
72,Chokurdakh,23,RU,1596664559,43,70.63,147.92,62.55,8.01
73,Summerville,40,US,1596664560,88,33.02,-80.18,82.4,7.47
74,Am Timan,100,TD,1596664561,94,11.03,20.28,72.5,6.71
75,Bluff,100,NZ,1596664562,96,-46.6,168.33,42.01,9.17
76,Podbrdo,75,BA,1596664564,100,44.44,17.01,62.6,3.36
77,Talcahuano,75,CL,1596664565,71,-36.72,-73.12,53.6,11.41
78,Ilulissat,75,GL,1596664566,81,69.22,-51.1,42.8,3.36
79,Neiafu,75,TO,1596664568,78,-18.65,-173.98,77.0,4.7
80,Nantucket,90,US,1596664533,83,41.28,-70.1,77.0,10.29
81,Lebu,36,CL,1596664571,75,-37.62,-73.65,49.32,8.88
82,Bredasdorp,40,ZA,1596664573,87,-34.53,20.04,44.6,6.93
83,Nanortalik,37,GL,1596664574,86,60.14,-45.24,43.86,3.94
84,San Patricio,20,MX,1596664575,70,19.22,-104.7,91.4,11.41
